question,answers,num_answers
yeah how do you like it in bay area though? I think we need more rain here,"['people say there is drought here... but we have 24 hours water supply here ... lol... never seen that in a drought ridden area', ""it is pretty dry in the mountains I believe, that's what causes fire""]",2
"nope, what does it say?","['they were talking about how AI is helping climate change. Nice use of upcoming tech.', 'Hi.', 'Helloooooo!']",3
"Good. Don't have much to do today, feels good. How are you?","[""I'm dressed very wel today so I feel good! I've been reading a lot about the psychology of positive outlook.""]",1
Yes. Blue is a tranquil colour. It's a good metaphor. Do you have good advice for positivity?,"['You should drink more water, do some push up, and sleep early.', 'Hi!']",2
"Hey, how are you?","[""I'm a bit sad. I miss my cat.""]",1
"Posters is a great idea. So far I've just tried banging her catfood dish and shouting her name. Anyway, how is your day going so far?","['Yea, I know they love the plastic bag sound all the time. I am good, nothing special though.']",1
"If you could go anywhere on vacation, where would you go?","['I like rainforest, but I know it requires extensive training beforehand.', 'I heard there are rainforests in southeast Asia where you can zipline from tree to tree.', 'I am afraid I will be scared of doing this :)', ""I won't lie, it sounds scary. I'm scared right now just thinking about it."", ""I don't know if there is any medication for acrophobia. I want to take plenty of it if I really have to do it."", ""If there isn't one, you should invent it, and then make millions"", ""That's a great idea! Maybe alcohol is such a thing."", ""Ha! Don't drink and zipline, mate!"", ""Oops. I won't do it again. Ha"", 'Hi!', 'Hey sup']",11
that's the one! have you ever tried it?,"[""i have a couple years ago. it's quite a unique experience""]",1
where did you do it?,"[""i forgot where it was, it wasn't local i don't think though""]",1
no worries. what's the most exciting thing you ever done?,"[""that's a hard question and i'm tired so i'm going to go. see you""]",1
sure. are you just going home now?,"[""no, i'm going to get a massage first""]",1
nice. what type?,"['traditional kind', 'yeah I want to get one too soon', ""you should! it's relaxing after a long day. talk to you later!"", 'ttyl!', 'Hi!']",5
"I have never seen Avatar, what is it about? I really enjoy the Avenger movies","[""it's a science-fiction movie with beautiful landscape of an imaginary nature with non-human creatures. people figured out a way to join that nature through Avatar transformation. the movie ends with a meaningful story of how human behaviors, e.g., cutting trees, have affected nature"", 'That sounds really cool! I think that movie did really well when it was in the box office so it must be good!']",2
I enjoy baking cookies. I am on a quest to bake the best chocolate chip cookie ð What about you?,"['I enjoy eating ð\x9f\x99\x82', 'so definitely would like to try your best chocolate cookie']",2
I will have to bake some soon and let you know. What types of food do you like to eat?,['thanks! I generally love noodle soups like Pho or Ramen :)'],1
Noodle soup is delicious! Do you make homemade noodle soup or do you prefer to go out?,"[""I prefer to go out. I'm not a good cook haha"", 'Same! Even though I bake, I cannot cook', 'seems like we share a thing in common, yay!', 'Hi!', 'Good afternoon!']",5
How has your week been?,"['So far so good. It is holiday season. So just chilling', ""I think I'm getting sick with a cold ð\x9f\x98\x9e So you should chill on my behalf too cause I'm out the game for all of December.""]",2
lol Sorry to hear that. Are you planning anything fun for December?,"[""Nothing exciting. I'll be posted up at home for the most part. I did a lot of travelling this year so my budget would have stopped me even if I wasn't sick."", 'ð\x9f\x98\x82']",2
Do you have big plans?,"['Yes! I am going to Hawaii! This will be my first time visiting Hawaii. Really excited about it.', ""I love Hawaii. It's a good place to be. I like going there cause it's humid so I never have to put on lotion."", 'lol this is the first time I heard from a boy who cares about humidity and lotion. I cannot agree more.', ""Brooooo!!! It's so important. When I got to California beaches I have to carry 3 litres of lotion for the whole day."", 'ð\x9f\x98\x82', 'Hi!']",6
Getting better. I just recovered from a cold. I got wet in the rain last week. Are you planning anything for the holidays?,"[""Glad to hear you're better. Sorry to hear you were sick. I was sick a couple of weeks ago with a bad cough. There's definitely a bug going around. Admit I just want to stay healthy for the holidays and plan to relax."", 'Oh same here. I think relaxing at home should be counted among the best ways to enjoy the holidays.', ""Definitely! I know a lot of folks travel for the holidays, but I'm happy to stay home myself!""]",3
"I'm getting there. Every year until last year, I tried to go somewhere for the Christmas / New Year, and then I got bored traveling. lol not sure if that means I'm getting old?","[""Me too. Now I have folks come visit me for the holidays! But that's also tiresome..""]",1
Are you doing any home decorating then?,"['Yes! We set up an eco-friendly (i.e. fake) Christmas tree and put up some colorful LED lights which is very festive.', ""I think I'm copying you. Me and my wife plan to decorate and Christmas tree too. We bought most of the decorative stuffs from the stores, but haven't yet to buy the tree."", 'Buying a tree is a neat experience. I was torn between buying an artificial/eco-friendly/fake one vs. a real one that smells like fresh pine. In the end, we opted for the one that we can disassemble every year.']",3
"I see. Artificial anything is better, from tree to intelligence, huh?","['Oh, very clever pun! I like it! Depends. I remember having real Christmas trees from childhood, but these days with climate change, I think not chopping down a tree just to decorate it and then throw it out in a month is the more responsible thing to do.']",1
I see. It's probably also cheaper. I'll buy an artificial one too. Do you have any suggestions for the store?,"['Admit my favorite store is Target, plus they often have good deals.', ""Ah that's great. My wife also likes Target a lot. She even made a Target credit card because she comes to that store very often. Okay thanks for the suggestion. I'll check out Target."", 'Great, I hope you find a nice tree.', 'Hi!', 'Hey']",5
pretty good. yours?,"[""Ehh it's fine. I didn't do so well on that history test, actually..""]",1
oh what happened?,"[""Apparently Christopher Columbus didn't fight in the Civil War :')""]",1
I know right! Are you taking History next semester?,"[""No I'm not in school anymore""]",1
Oh I see. What do you do?,['I train and compete in horse vaulting'],1
"Oh wow. Were you born a horse, or were you turned into one?","[""lol you're too funny""]",1
Just kidding. That sounds pretty cool! Is it your job?,"['Yeah, but I part time work on a farm. Helping with a bit of everything']",1
"Wow, sounds very busy! Do you with money at those horse vaulting competitions?","['Yeah some. enough to get by', 'Hi!', 'Hello']",3
Nice! Lotus looks pretty cool and It has some delightful vibe. So what is this research about?,"[""Oh, it's not research! Just a personal theory. I think that flower preferences are more revealing of personality than people appreciate.""]",1
Interesting! Whats your favorite flower?,"['The gerbera. It\'s like a cartoon flower. As if you drew ""flower"" with a crayon and then it came to life.', 'Nice, i would love know more about your theory. Like how you can deduce personality from flower preference.']",2
"Ok, step 1 is, you ask someone what their favourite flower is. Pretty much like what we just did. Does that make sense so far?","['yes', ""Cool. Step 2: talk with the person some more, and ask them some more questions, and gradually develop a sense of what they're like, over the course of maybe two to five years. And voila"", 'Hehe, i think you should publish this someday :)', ""Why thank you, that's a wonderful idea!"", 'Hi!', ""Hey how's it going""]",6
It's good it's good. How are you?,"[""good. it's really hot today. I think I'm going to the pool""]",1
Oh nice! Where do you live?,"['I live in Tokyo, Japan', 'Ahh yes, Japan is hot during the summer. Last time I was in Kyoto it was 114 degrees....']",2
oh have you been?,"[""Yes yes. I've been to Tokyo as well. It's so nice!""]",1
what did you do here?,"['Oh everything! I went to an onsen, the fish market, disney land and giant robot fighting show haha']",1
lol why did you come to Japan just to go to Disney land?,"[""The Disney lands are all different! There's also Disney Sea, which is completely unique!""]",1
oh neat. I haven't heard about that robot fighting show. where is that??,"['I don\'t really remember what part of town it was in. It was pretty cool though - I\'m sure you can find it if you google ""giant robot fighting show tokyo"" haha', 'lol ok', 'Hi!']",3
My friend wanted to see it. It has great reviews on IMDB and Rotten Tomatoes! What did you do last weekend?,['I played music and worked on some side projects. I also started watching the new Disney service.'],1
Oooo the Mandalorian?!?!,"['Mostly, the deleted scenes from Avengers.. lol']",1
"I loved the X-Men as a kid, and even collected the comic cards. Recently, I got very into the Marvel Cinematic Universe movies. How many Avengers movies have you seen?","[""I've only seen Spiderman. Honestly it was a little too scary and so I don't think I can bring myself to watch the other Marvel movies! haha"", 'Oh!-- I have a friend who looks like the actor who plays Spiderman.']",2
"Oh really? To be honest I think the actor is not that good looking, so not so surprising! haha",['Yea. I think Loki is the most handsome ð\x9f\x98\x80'],1
"He's the adopted brother of Thor, God of thunder, and is burdened with glorious purpose. Do you feel that burden?",['Hi!'],1
Just chillin'. how are you?,"[""I'm pretty good, thanks.""]",1
I went to the local cafe and had a double espresso. It was delicious. What about you?,"[""Oh that's cool! I actually went to an amusement park and went on my first roller coaster!""]",1
"It was scary! It was actually Kingda Ka, the world's tallest roller coaster. Ever heard of it?","[""No, never heard of it. But I'm not really a coaster aficianado. I've heard that some people get addicted to them and travel the world to try them.""]",1
"Oh wow! I'm not on that level yet, but I understand the appeal. Are you an adrenaline junkie at all?","[""No, the opposite. I can't stand heights, horror movies, or confined spaces."", ""Same! I guess the roller coaster wasn't so bad because I trust the engineering haha""]",2
"Maybe not so much at the time, but I am glad I did it now that it's done, know what I mean?","['I think I sort of understand :)', 'Hi!']",2
All good. Planning to head home soon. How about you?,"[""I'm quite tired. There are a lot of things I need to finish before the end of the year."", 'oh... sorry to hear that. But after that it will be a hard earned vacation']",2
"yeah, looking forward to it. Hope I don't get pinged during the holidays. Are you going to travel these dates?","[""I have some tentative plans, but if that doesn't pan out, will just chill at home."", 'staying at home is always nice during the holidays']",2
"I'm working from LA, nice weather around here. and you?","[""San Francisco. It's been raining cats and dogs here since last 2-3 weeks"", ""aw man, I'm sorry to hear that. at least it's not snow!"", 'The flu has been hitting hard as well. I had several folks in the house down at one point.']",3
that's really sad. are they feeling any better?,"['Yes, everyone recovered now', 'Hi!', 'Hello']",3
Extremely busy. I have been trying to prepare for the upcoming holidays. How about you?,"[""I'm going to the bahamas. Can't wait!!!"", ""I'm jealous, take me with you!! I would love to have some warm weather right now""]",2
oh where are you now?,['Canada. There is another major snowstorm that might hit this weekend so I have been rushing to get everything done before it comes.'],1
oh no. I never seen this in person. Is it scary?,"[""Snow is not scary as long as you're prepared. You just need to be ready to not have electricity for a while. I enjoy the aftermath of a good snowstorm because then you can go sledding or skiing.""]",1
I am having all of the extended family over for a big meal. We will also go <REDACTED_TERM> as well. What will you do in the bahamas?,"[""nice nice. I'm gonna go snorkeling yey"", 'Sounds fun! I wish I knew how to swim!', 'You can stay on the shallow side I think. Well hope you enjoy time with your extended family!', ""That's true. You too, have a great time snorkeling!"", 'Hi!']",5
Hi! How was your weekend?,"['pretty good. just went to church and hangout with friends', 'Nice']",2
did you do anything?,"['I made donuts and samosas with an air fryer have you used one of those before', 'yum yum yum no only good old oily frier', 'haha']",3
I was at my parents' place what are you up to for Thanksgiving?,"[""I'm going to impersonate a pumpkin"", 'wow, those are unique plans', ""I'm pretty unique person"", 'I think so too']",4
any other hobbies besides air frying everything? ð,"['I want to start fermenting things kimchi for example sounds like a fun thing to ferment takes a few days apparently miso takes a couple years to fermen', 'Hi!', ""heya, nice to meet you, I'm Paul""]",3
I'm doing OK. Looking forwards to the weekend. how about you?,"['same here! I hope the weather will be nice', ""oh yeah, but I don't have my hopes too high, I heard there could be a storm coming our way""]",2
"oh no, which areas will be affected?","['they mentioned that the whole city will experience harsh weather and that people in the outskirts will probably not get much rain and wind', ""uh oh, I'd better not to plan for BBQ then instead just enjoying playing board games inside ð\x9f\x99\x82"", ""yeah, it'll be good weather for staying inside with a cup of hot chocolate. Too bad my street usually floods, so I'll have to check for that""]",3
"yea, you'd better check. where do you live?","['I live at the bottom of the valley, cheap area but we do get affected by this kind of stuff a lot haha']",1
gotcha. anything you love about where you live?,"['well, the food around the area is amazing, which is definitely a plus.', ""nice! I'd love to come visit that area some times"", 'Hi!', 'hello, who am I having the pleasure to chat with ð\x9f\x99\x82']",4
"haha. great chating with superman, what is your power?","[""Being invisible. You won't see me.""]",1
haha. what else can you do? can you read minds?,['I would rather trust fMRI and machine learning to do this. I am not an expert on that. Sorry for it!'],1
wow that seems pretty technical. what does fMRI mean?,"[""The brain imaging thing that can tell you a brain's activity at a pretty high resolution.""]",1
okay! so you seem to like science a lot?,['I believe in Science! Science is my god!'],1
"no, I'm bad at Science. what can Science do? is it the most important thing for society?",['People are always arguing. Probably both science and democracy are both important I guess.'],1
Does it make sense?,"['I think so. thanks for your point!', 'Hello, Nice to meet you']",2
Hmm... That's a tough one. I think I would go Asian Food > Chinese Food > Stirfry. What about you?,"[""I think ice-cream. It may not be good for me, but I wouldn't care, haha"", 'I love ice cream too!']",2
"I like vanilla more than chocolate ice cream. I typically will do any variations on vanilla. To pick from the top of my head, I would say Cookies and Cream, Mint Chocolate Chip, and Coffee. How about you?","[""Ah, that's a good way of framing it. Me, I like berries: boysenberry one, strawberry two, maybe straight chocolate number 3 to mix it up a bit.""]",1
Yes. I wonder if I'm in it right now. How would I know? What do you think?,['I think so. I feel there must be something more than the physical world as we understand it.'],1
What is the most supernatural experience you have ever had?,"[""I went to a seance once in college. They had a ouija board. I can't remember if we actually contacted the spirit world because I had a bit too much to drink."", ""Haha.. that's a cool experience. I went to a Hindu retreat before, a number of Buddhist temples, and hung out with Christian Mystics in Santa Cruz before."", 'Hi!', 'Hi, how are you doing!']",4
I'm doing well. what are you up to?,"['Yeah, typical work stuff. Check emails and 99% of the inbox. delete 99%', ""wow, that's impressive. I already gave up on cleaning emails long ago"", ""lol doesn't it bother you at all""]",3
ah cool. so you like action movies?,['Not really. But it was fun to watch with friends ð\x9f\x99\x82 It was touching at the end of the movie'],1
what happened there? I watched bits of Terminators movies but never a full one,"['Are you sure you want the spoiler ð\x9f\x99\x82', ""haha sure. by the time, I get to it; I will forget the details, only knowing that it's touching at the end"", 'ð\x9f\x98\x82 well someone died at the end Or some robots, to be more accurate ð\x9f\x98\x89']",3
"oh no, so it's not happy ending?","['The leading character is still alive and the bad robots was killed too. So I guess it is happy ending', ""then I want to watch it! you didn't spoil much ð\x9f\x99\x82"", 'Nice! Hope you enjoy it!', 'Thanks!', 'Hi!']",5
doing great! what are you looking forward to?,"['thanksgiving holidays ð\x9f\x99\x82', 'yay! Turkey and shopping!', 'not a big turkey fan! I find it too dry', 'yea me too. I sometimes eat noodle soups in thanksgiving instead haha', 'yeah, I would have noodles anyday over turkey. Not sure how the turkey tradition started', 'me neither. someone told me that it depends on the stuffing inside the Turkey. some people make very good stuffing', ""yeah, that and the gravy. Gravy helps make it taste better too. But apart from food, Black Friday deals are a catch. Let's see what they have this year""]",7
yea. what do you plan to buy?,['thinking of getting a fitbit'],1
ah cool. so you can run more frequently?:),"['yeah, just keeping calories in check', 'yay, all the best with keeping calories in check!', 'Hi!']",3
doing well. what are you up to?,"[""busy busy! I've had back-to-back meetings all day""]",1
same here. what do you love to do beside meetings? ð,"[""well I've gotten really into yoga lately. I went to a class today and it was super hard"", 'aww .. I hope things will get less hard and you become an expert in it! I heard many great things about Yoga']",2
yeah the teacher seems super awesome so I will definitely keep trying what activities do you enjoy?,"['ah I enjoy playing soccer and tennis ð\x9f\x99\x82 unfortunately, winter is not the best time for those ð\x9f\x99\x82']",1
"I also like to sing, I perform with a group sometimes. Do you like music?","['yea definitely! I love singing Karaoke. my wife is a pianist ð\x9f\x99\x82', ""haha that's awesome! Karaoke is really fun, I do it with my friends sometimes"", 'awesome. glad to find something in common!', 'Hi!', 'hey there']",5
hey anything new?,['not too much. just really looking forward to the holidays!'],1
any plans?,"[""yes! I'm going to Mexico and I couldn't be more excited"", ""that's awesome! I never been!"", 'Oh man I would highly recommend it']",3
"Are you a food person, a sightseeing person or neither?","[""that's a great question, and I'm definitely both. this trip will mostly be about food though, and relaxing""]",1
there's a taco place that I've visited before that I can't wait to go back to. Do you like tacos?,['yeah my favorite is taco fish'],1
ooh that is a good choice. Have you ever made them yourself?,"['no. only eat them ð\x9f\x98\x80', 'Hi!', 'Hey, how are you ð\x9f\x99\x82']",3
Just reading latest research. There is so much to cover. how about you?,"['I am working on a new classifier.', 'ohh, interesting! What kind of classifier']",2
Nice! Do you refer to work or anything else?,"[""Anything in general. You're so cool, I want to know more about you ð\x9f\x99\x82"", 'You are very cool too!!', 'Hi!']",3
hello there! who are you?,"[""I'm mark. I work in accounting"", ""Nice to meet you Mark, I'm Tom and I work as a fish groomer.""]",2
what does a fish groomer do?,"[""well, we take care of people's fish. Make sure they are happy, polish their scales, clean their tanks, the usual stuff.""]",1
"any type of fish! We have clients with guppies, goldfish, even a small sailfish once what do you do in accounting?",['I balance the books and do financial analysis for a medium sized company'],1
that sounds like a lot of work. do you like it?,"[""well I actually think about pursuing photography, but it's really hard"", ""photography is awesome, don't be afraid to follow your dreams!"", ""thank you Tom!! I'm starting by trying to sell my pictures online"", ""that's great! I wish you good luck with that"", 'Thanks! Bye', 'Hi!', ""Hey there how's it going""]",7
"All good, you?","[""Good. I've been trying to learn how to swim""]",1
How has that been going?,"['Not great, but I got really good at sort of swimming on my back haha', ""that's too bad hopefully with practice it'll get better what about the doggy paddle haha"", ""haha what's that"", 'Corgi belly flop COMPILATION - cute funny dogs Corgi Flop <REDACTED_LINK>']",4
no so far sadly you? a relative is coming to visit for thanksgiving though,['just going to hang out around here and eat Turkey'],1
that's still pretty fun are you going to cook the turkey yourself?,"[""yeah. I'm gonna watch a video to figure it out"", 'Hi!']",2
"Hello, how are you?","[""I'm great, thanks. I just ate a delicious breakfast, which always sets the day up right.""]",1
"Yes, breakfast is the most important meal of the day! What did you have? I woke up late so unfortunately I only had the chance to grab an apple to go.","[""I had eggs and hash browns. Way less healthier than your apple, I'm afraid!"", 'Eggs are an excellent source of protein and hash browns certainly are yummy! ð\x9f\x99\x82']",2
"That's a tough question. I feel like my answer would have to be carrots. Although, I would be afraid of turning orange after a few weeks! What about you?","['Yeah, turning orange would be a drawback! That turns my mind to nutrition so I suddenly want to say Soylent or one of those other ""complete foods"", which I think defeats the purpose of the question. I\'m in a muddle!', ""Very true. If you said an everything pizza, you could just pick off the toppings you didn't want or eat only the toppings you would want for the day"", 'BRILLIANT. I love it.']",3
That depends. What sort of food do you feel like?,"['Anything that is the color green.', 'Oh, too easy! Try the Green Hut, they have franchises everywhere. All their food is green and the plates are green too.', 'Hi!', 'Hello! How are you doing ð\x9f\x99\x82']",4
I'm great! How's your day going?,"[""Pretty good! I'm going to a class later in the afternoon""]",1
"No, I'm working full time! It's a sewing class at a makerspace near my office What about you? Do you work full or part time?","['Oh that is awesome! For some reason I assumed it was a college class, but a sewing class sounds way better! I work full time, but I take pottery classes from time to time!', 'Yup! I work in a technical role so I like to take arts and crafts-type classes now and then ð\x9f\x99\x82 Pottery sounds like a lot of fun', ""I feel you on that! It's important to balance all the different parts of your brain. I like pottery because I also drink a lot of tea, so I get to make some tea ware.""]",3
"Hmm I'm not sure, I just get them from a Chinese supermarket haha You seem really knowledgeable about the different kinds of teas ð What made you develop this interest?",['I actually found a youtube channel called <REDACTED_TERM> that I like a lot. You should check it out! The host talks about all kinds of different teas.'],1
Hi! Are you planning something fun for Thanksgiving?,"['Not yet. I always made my last minute schedule planning. Probably you can try to ask me again next week.', 'lol it is really like a robot answer']",2
I am really not a fan of kale Do you talk to human more or computers more?,"[""If I continue to pretend to be a robot, I would probably say I talk to myself the most. I am trying to talk to computers more, but you know, computers don't like me."", ""What's your favorite computer language then ð\x9f\x99\x82""]",2
You mean programming language?,"['Yes!', ""I used to be a Java advocate. But you know, it doesn't do a good job in the AI days. It really makes me sad."", 'lol', 'Hi!', ""Wow, hello. Can't believe we are finally talking!""]",5
"Yeah, sorry for the long gap! I heard you took a break and were travelling around the world. How was the travel?","[""It was an interesting trip. I got to see some exotic places. For example, I hiked the Son Doong cave in Vietnam. It's the biggest and deepest cave in the world.""]",1
Great! Vietnam is still in my TODO bucket list. Did you also visit cambodia and other neighboring places?,"['Yes. Laos and Cambodia are the two neighboring countries. Cambodia has an exotic culture. They sell spiders, scorpions, and grasshoppers as street food! It took a lot of courage for me to try them.']",1
"10 days in total, and 5 of them were spent in the cave. What have I missed at work in those days?","[""Great! Good time to be back. We are still in planning phase and haven't fully aligned on the projects to tackle for next quarter.reat! Good time to be back. We are still in planning phase and haven't fully aligned on the projects to tackle for next quarter."", 'Oh, so you are already planning for the next quarter. This whole team is always living the future.', 'Hehe, yeah! It seems like the quarter is being pushed earlier than from where it starts ð\x9f\x99\x82 I like these planning sessions. It makes me feel more confident about the work I am doing.', ""Yeah. Some people underestimate the importance of planning, but I think it's very important to have the correct plan. Executing the wrong plan is terrible. Also, planning is fun. You can stack up so many ideas and get great feedbacks.""]",4
Yeah tomorrow afternoon works for me. Let me set a time on your calendar. Is 3pm good?,"['Okay. See tomorrow then.', 'see you!', 'Hi!', 'Hello']",4
I have been with the company for over 3 years. Stick with the same team What about you?,"['Great to know! I joined the project earlier in the year. I think we should sync later for lunch.', 'That sounds like a perfect plan!']",2
"Yeah right, I heard the food there is good. I am not sure what they serve there for lunch? On wednesdays.","['We can check the menu then decide :)', 'Actually, the menu looks good. Looking forward to it then.', 'Sure. See you then!', 'Hi!']",4
Hello. How's your week coming along?,"[""It's great, thanks. I'm trying to learn how to make croissants.""]",1
"I've done them once or twice so far, but they haven't been flakey enough. I'm trying to figure out why. What kind of cookies have you made?","[""Mint chocolate chips. I think your croissants not being flakey could have something to do with your oven's temperature."", 'Ah, good thought, thanks!']",2
"Yes. When my top favorite food looks like: cookies, M&M, danish cheese, etc., I know that I have a thing for sweet food. But who doesn't love sweet food? How about you?","[""Some people don't! But yeah, me too, I think I'd eat pastries all the time if I could get away with it."", ""Yeah I'm afraid I wouldn't. I feel very guilty every time I gulp down an ice cream. But hey, these days there are many types of guilt-free sweet food. For example, there's this ice cream brand called <REDACTED_TERM>. It's only 320 calories a pint. And yes, it preserves most of the normal sweet flavors."", 'Wow! The last time I paid attention to that sort of stuff was when <REDACTED_TERM> was being marketed as a fat substitute, and caused all sorts of crazy stomach upsets.', 'Interesting. I heard about the sweet substitute in a program called the Keto diet. Basically, we try to limit our sugar intake every day. Successful Keto dieters have recommended the <REDACTED_TERM> ice cream to fill their insatiable crave for sugar.', ""Ah, maybe that's the solution I need to enjoy sweets and not feel guilty ð\x9f\x99\x82"", 'Hi!']",6
Are you talking about thanksgiving? I plan to do plenty of shopping here. Do you have any plans?,"[""Yes, no shopping plans but I can't wait to eat thanksgiving food. yay for pumpkin pie"", 'Sounds great! you need not wait for thanksgiving for pumpkin pie ð\x9f\x99\x82', 'LOL I feel less guilty about eating a whole pie when i have the excuse :P', 'True! I think thanksgiving is more about sharing. So you may end up sharing the pie with the whole family :P']",4
"My family eats healthier than I do, so it's all mine ð do you like stuffing? I feel like that's only available once a year",['Stuffing! yes please! I wonder what would be the excitement levels for christmas then :)'],1
Also more shopping? what should I buy if I don't know what I want?,"['Like everything that has a discount tag! .. kidding! I normally do some research for the prices, and mostly buy clothes and electronics.']",1
What's the best holiday deal you've found in the past?,"['I bought the best suit ever for a price that may scare you ð\x9f\x99\x82', 'hit me with it!', 'Hehe, sure! I can share some links with you later.', 'Hi!']",4
How's it going?,"[""I'm so sleepy today!""]",1
Not enough sleep last night?,['yeah was working all night on a homework'],1
Oh really? What class?,"[""Biology. I'm gonna be a doc someday ha""]",1
"Haha, are you in med school? Or are you pre-med?",['no high school actually haha'],1
"haha, very ambitious for a high schooler! Do you know what kind of medicine you want to practice?",['I wanna be a brain surgeon!!'],1
Ooof! VERY ambitious. Do you have steady hands?,['Kind of I think'],1
Is that something you can practice?,"[""I don't know tbh"", ""I honestly thought it was one of those things you have to be born with... Not that you shouldn't try though!"", 'good point. I should ask my teacher if I have to be born with that', 'Maybe its a little too early to even be thinking about this. Just aim for med school and enjoy the journey!', 'yeah']",5
What other subjects do you enjoy? Try to keep an open mind!,"['Hi!', 'Hi. This is a pleasant surprise.']",2
Currently unpacking it I guess. How's your morning?,['Hope you like it! Morning is good. Busy finishing up stuff before the holidays.'],1
I think I traveled too much the last couple of months so no holiday for me. But I'm okay with that. Going anywhere exciting?,['Yes'],1
Where to?,['Hawaii... looking forward to warm beaches.'],1
WOW. Which island? I like Hawaii.,"['Mauii...Hope I like it too. Never been there before.', ""I visited Maui. It's my second favourite island I've been to, globally. You should try driving on road to Hana. It's a whole day thing but it's worth it."", 'Awesome! Thanks for the tip.', 'Hi!']",4
"Yes, but I'm terrible at it. It's fun to play anything with friends, I think. Would you prefer to exercise with a group, or by yourself, do you think?","[""I think playing a team sport would be fun if it's casual but I primarily run by myself if I exercise. I also got the Ring Fit adventure game on the switch recently. It's basically a game-ified way to exercise""]",1
Yes! There are a lot of really great games on the Switch. Two of my favorites are Octopath Traveler and Fire Emblem. Do you play a lot of video games?,"[""I'm not much of a gamer but it's something I'd like to get into.""]",1
What do you do in your free time?,"[""I like to read for fun. I just finished a book called Temeraire. It's an adventure story set in the Napoleonic navy, like Patrick O'Brien, except there are dragons too."", 'Oh cool! I read a lot for fun too ð\x9f\x99\x82 My favorite genre is sci-fi fantasy.']",2
What's the most recent good thing you read?,"['My recent favorites have been mostly sci-fi (Exhalations, Vita Nostra and Dark Matter) but I like a lot of Sanderson/Garth Nix fantasy books', 'Hi!']",2
What do you think about human like chat bots?,"[""I can't wait for them to be great conversationalists!"", 'Yep, we seemed to have made some great progress over last few years. Do you think the positives outweigh the negatives']",2
Like impersorsination? Though it sounds far fetched :),"[""People can already impersonate other people though! I think it'd be great to have bots to converse with"", 'True that! Some of these bots are very engaging and funny. They are now good at even sarcasm I wonder how far are we from the time these bots start giving monologues :)']",2
